YEAR,MO,DY,HR,Temp
2022,1,1,0,7.99
2022,1,1,1,7.71
2022,1,1,2,7.39
2022,1,1,3,7.21
2022,1,1,4,7.2
2022,1,1,5,7.38
2022,1,1,6,7.62
2022,1,1,7,8.09
2022,1,1,8,8.54
2022,1,1,9,9.01
2022,1,1,10,9.34
2022,1,1,11,9.85
2022,1,1,12,10.34
2022,1,1,13,10.98
2022,1,1,14,10.95
2022,1,1,15,9.83
2022,1,1,16,9.23
2022,1,1,17,9.28
2022,1,1,18,9.16
2022,1,1,19,9.13
2022,1,1,20,9.08
2022,1,1,21,8.62
2022,1,1,22,8.65
2022,1,1,23,8.65
2022,1,2,0,8.69
2022,1,2,1,8.55
2022,1,2,2,8.48
2022,1,2,3,8.23
2022,1,2,4,7.98
2022,1,2,5,8
2022,1,2,6,7.9
2022,1,2,7,7.49
2022,1,2,8,8.01
2022,1,2,9,8.76
2022,1,2,10,9.4
2022,1,2,11,10.6
2022,1,2,12,11.36
2022,1,2,13,11.31
2022,1,2,14,10.43
2022,1,2,15,8.98
2022,1,2,16,7.21
2022,1,2,17,5.73
2022,1,2,18,4.37
2022,1,2,19,3.15
2022,1,2,20,1.98
2022,1,2,21,1.1
2022,1,2,22,0.55
2022,1,2,23,0.12
2022,1,3,0,-0.38
2022,1,3,1,-0.57
2022,1,3,2,-0.74
2022,1,3,3,-0.93
2022,1,3,4,-1.15
2022,1,3,5,-1.68
2022,1,3,6,-2.15
2022,1,3,7,-2.6
2022,1,3,8,-2.63
2022,1,3,9,-2.56
2022,1,3,10,-2.51
2022,1,3,11,-2.56
2022,1,3,12,-2.62
2022,1,3,13,-2.72
2022,1,3,14,-2.89
2022,1,3,15,-3.04
2022,1,3,16,-3.34
2022,1,3,17,-3.69
2022,1,3,18,-4.15
2022,1,3,19,-4.46
2022,1,3,20,-4.73
2022,1,3,21,-5.27
2022,1,3,22,-5.85
2022,1,3,23,-6.26
2022,1,4,0,-6.49
2022,1,4,1,-6.66
2022,1,4,2,-6.76
2022,1,4,3,-6.77
2022,1,4,4,-6.81
2022,1,4,5,-6.88
2022,1,4,6,-6.97
2022,1,4,7,-6.93
2022,1,4,8,-5.85
2022,1,4,9,-4.3
2022,1,4,10,-2.64
2022,1,4,11,-1.12
2022,1,4,12,-0.13
2022,1,4,13,0.51
2022,1,4,14,0.64
2022,1,4,15,0.03
2022,1,4,16,-2.38
2022,1,4,17,-2.82
2022,1,4,18,-2.58
2022,1,4,19,-2.52
2022,1,4,20,-2.48
2022,1,4,21,-2.52
2022,1,4,22,-2.66
2022,1,4,23,-2.81
2022,1,5,0,-2.91
2022,1,5,1,-2.81
2022,1,5,2,-2.65
2022,1,5,3,-2.38
2022,1,5,4,-1.7
2022,1,5,5,-1.1
2022,1,5,6,-0.52
2022,1,5,7,0.71
2022,1,5,8,2.03
2022,1,5,9,2.94
2022,1,5,10,3.75
2022,1,5,11,4.33
2022,1,5,12,4.54
2022,1,5,13,4.38
2022,1,5,14,4.15
2022,1,5,15,3.48
2022,1,5,16,2.73
2022,1,5,17,2.19
2022,1,5,18,1.91
2022,1,5,19,1.63
2022,1,5,20,1.29
2022,1,5,21,1.43
2022,1,5,22,1.41
2022,1,5,23,1.35
2022,1,6,0,1.28
2022,1,6,1,1.19
2022,1,6,2,1.04
2022,1,6,3,0.77
2022,1,6,4,0.13
2022,1,6,5,-0.79
2022,1,6,6,-1.19
2022,1,6,7,-1.07
2022,1,6,8,-0.01
2022,1,6,9,1.13
2022,1,6,10,1.68
2022,1,6,11,2.21
2022,1,6,12,2.59
2022,1,6,13,2.5
2022,1,6,14,2.19
2022,1,6,15,1.16
2022,1,6,16,-1.57
2022,1,6,17,-1.86
2022,1,6,18,-1.46
2022,1,6,19,-1.27
2022,1,6,20,-1.08
2022,1,6,21,-1.35
2022,1,6,22,-1.41
2022,1,6,23,-1.33
2022,1,7,0,-1.35
2022,1,7,1,-1.32
2022,1,7,2,-1.39
2022,1,7,3,-1.56
2022,1,7,4,-1.88
2022,1,7,5,-2.23
2022,1,7,6,-2.46
2022,1,7,7,-2.63
2022,1,7,8,-2.52
2022,1,7,9,-2.04
2022,1,7,10,-1
2022,1,7,11,0.15
2022,1,7,12,0.61
2022,1,7,13,0.5
2022,1,7,14,-0.01
2022,1,7,15,-0.87
2022,1,7,16,-1.88
2022,1,7,17,-2.55
2022,1,7,18,-3.19
2022,1,7,19,-3.56
2022,1,7,20,-4.1
2022,1,7,21,-4.59
2022,1,7,22,-5.16
2022,1,7,23,-5.71
2022,1,8,0,-6.1
2022,1,8,1,-6.42
2022,1,8,2,-6.77
2022,1,8,3,-7.07
2022,1,8,4,-7.38
2022,1,8,5,-7.85
2022,1,8,6,-8.59
2022,1,8,7,-9.1
2022,1,8,8,-7.6
2022,1,8,9,-6.03
2022,1,8,10,-4.58
2022,1,8,11,-3.21
2022,1,8,12,-2.13
2022,1,8,13,-1.45
2022,1,8,14,-1.21
2022,1,8,15,-1.77
2022,1,8,16,-3.36
2022,1,8,17,-4.75
2022,1,8,18,-5.92
2022,1,8,19,-6.41
2022,1,8,20,-6.39
2022,1,8,21,-6.02
2022,1,8,22,-5.5
2022,1,8,23,-5.32
2022,1,9,0,-4.95
2022,1,9,1,-4.6
2022,1,9,2,-4.95
2022,1,9,3,-5.12
2022,1,9,4,-4.75
2022,1,9,5,-4.09
2022,1,9,6,-3.5
2022,1,9,7,-2.63
2022,1,9,8,-0.45
2022,1,9,9,0.73
2022,1,9,10,1.55
2022,1,9,11,2.61
2022,1,9,12,2.36
2022,1,9,13,2.07
2022,1,9,14,2.4
2022,1,9,15,2.27
2022,1,9,16,1.95
2022,1,9,17,1.73
2022,1,9,18,1.54
2022,1,9,19,1.48
2022,1,9,20,1.33
2022,1,9,21,1.15
2022,1,9,22,1.07
2022,1,9,23,0.98
2022,1,10,0,0.98
2022,1,10,1,0.44
2022,1,10,2,-0.8
2022,1,10,3,-1.95
2022,1,10,4,-2.79
2022,1,10,5,-3.81
2022,1,10,6,-4.73
2022,1,10,7,-5.3
2022,1,10,8,-4.31
2022,1,10,9,-3.56
2022,1,10,10,-3.03
2022,1,10,11,-2.51
2022,1,10,12,-2.18
2022,1,10,13,-2.1
2022,1,10,14,-2.37
2022,1,10,15,-3.16
2022,1,10,16,-4.33
2022,1,10,17,-4.79
2022,1,10,18,-4.94
2022,1,10,19,-5.51
2022,1,10,20,-5.68
2022,1,10,21,-6.04
2022,1,10,22,-6.55
2022,1,10,23,-6.78
2022,1,11,0,-6.88
2022,1,11,1,-6.95
2022,1,11,2,-7.5
2022,1,11,3,-8.46
2022,1,11,4,-9.04
2022,1,11,5,-9.44
2022,1,11,6,-10.37
2022,1,11,7,-11.45
2022,1,11,8,-11.48
2022,1,11,9,-10.77
2022,1,11,10,-9.86
2022,1,11,11,-8.98
2022,1,11,12,-8.34
2022,1,11,13,-7.95
2022,1,11,14,-7.89
2022,1,11,15,-8.44
2022,1,11,16,-10.02
2022,1,11,17,-11.02
2022,1,11,18,-11.31
2022,1,11,19,-11.31
2022,1,11,20,-10.92
2022,1,11,21,-10.71
2022,1,11,22,-11.19
2022,1,11,23,-11.48
2022,1,12,0,-11.23
2022,1,12,1,-10.51
2022,1,12,2,-9.62
2022,1,12,3,-9.24
2022,1,12,4,-9.06
2022,1,12,5,-8.81
2022,1,12,6,-8.34
2022,1,12,7,-7.47
2022,1,12,8,-5.01
2022,1,12,9,-2.61
2022,1,12,10,-0.7
2022,1,12,11,0.74
2022,1,12,12,1.8
2022,1,12,13,2.48
2022,1,12,14,2.68
2022,1,12,15,1.98
2022,1,12,16,-0.68
2022,1,12,17,-1.56
2022,1,12,18,-1.63
2022,1,12,19,-1.62
2022,1,12,20,-1.64
2022,1,12,21,-1.63
2022,1,12,22,-1.57
2022,1,12,23,-1.52
2022,1,13,0,-1.46
2022,1,13,1,-1.62
2022,1,13,2,-1.81
2022,1,13,3,-1.85
2022,1,13,4,-1.72
2022,1,13,5,-1.43
2022,1,13,6,-1.45
2022,1,13,7,-1.53
2022,1,13,8,-0.6
2022,1,13,9,1.25
2022,1,13,10,3.54
2022,1,13,11,5.64
2022,1,13,12,6.3
2022,1,13,13,5.98
2022,1,13,14,5.05
2022,1,13,15,3.48
2022,1,13,16,2.39
2022,1,13,17,1.53
2022,1,13,18,0.9
2022,1,13,19,0.76
2022,1,13,20,0.76
2022,1,13,21,0.76
2022,1,13,22,0.81
2022,1,13,23,0.98
2022,1,14,0,1.07
2022,1,14,1,0.93
2022,1,14,2,0.68
2022,1,14,3,0.52
2022,1,14,4,0.53
2022,1,14,5,0.58
2022,1,14,6,0.51
2022,1,14,7,0.44
2022,1,14,8,1.37
2022,1,14,9,2.58
2022,1,14,10,3.44
2022,1,14,11,3.69
2022,1,14,12,3.51
2022,1,14,13,3.1
2022,1,14,14,2.5
2022,1,14,15,1.62
2022,1,14,16,0.39
2022,1,14,17,-0.83
2022,1,14,18,-2.16
2022,1,14,19,-3.6
2022,1,14,20,-5.01
2022,1,14,21,-6.27
2022,1,14,22,-7.29
2022,1,14,23,-8.22
2022,1,15,0,-9.18
2022,1,15,1,-10.16
2022,1,15,2,-11.12
2022,1,15,3,-12.13
2022,1,15,4,-12.97
2022,1,15,5,-13.64
2022,1,15,6,-14.23
2022,1,15,7,-14.62
2022,1,15,8,-14
2022,1,15,9,-12.77
2022,1,15,10,-11.38
2022,1,15,11,-10.08
2022,1,15,12,-8.93
2022,1,15,13,-8.28
2022,1,15,14,-8.27
2022,1,15,15,-8.69
2022,1,15,16,-9.27
2022,1,15,17,-9.82
2022,1,15,18,-10.31
2022,1,15,19,-11.08
2022,1,15,20,-11.95
2022,1,15,21,-12.62
2022,1,15,22,-13.16
2022,1,15,23,-13.69
2022,1,16,0,-14.14
2022,1,16,1,-14.46
2022,1,16,2,-14.67
2022,1,16,3,-14.84
2022,1,16,4,-15.08
2022,1,16,5,-15.37
2022,1,16,6,-15.52
2022,1,16,7,-15.14
2022,1,16,8,-13.18
2022,1,16,9,-10.65
2022,1,16,10,-8.26
2022,1,16,11,-6.13
2022,1,16,12,-4.11
2022,1,16,13,-2.77
2022,1,16,14,-2.21
2022,1,16,15,-2.24
2022,1,16,16,-2.31
2022,1,16,17,-1.85
2022,1,16,18,-1.22
2022,1,16,19,-0.56
2022,1,16,20,0.06
2022,1,16,21,0.7
2022,1,16,22,1.27
2022,1,16,23,1.87
2022,1,17,0,2.27
2022,1,17,1,2.48
2022,1,17,2,3.01
2022,1,17,3,3.85
2022,1,17,4,4.9
2022,1,17,5,5.78
2022,1,17,6,5.5
2022,1,17,7,3.8
2022,1,17,8,2.82
2022,1,17,9,2.57
2022,1,17,10,2.58
2022,1,17,11,2.72
2022,1,17,12,2.76
2022,1,17,13,2.76
2022,1,17,14,2.54
2022,1,17,15,2.07
2022,1,17,16,1.26
2022,1,17,17,0.84
2022,1,17,18,0.51
2022,1,17,19,-0.07
2022,1,17,20,-0.65
2022,1,17,21,-1.09
2022,1,17,22,-1.29
2022,1,17,23,-1.39
2022,1,18,0,-1.45
2022,1,18,1,-1.49
2022,1,18,2,-2.03
2022,1,18,3,-2.88
2022,1,18,4,-3.52
2022,1,18,5,-3.55
2022,1,18,6,-3.41
2022,1,18,7,-3.12
2022,1,18,8,-2.13
2022,1,18,9,-0.73
2022,1,18,10,0.17
2022,1,18,11,0.34
2022,1,18,12,0.06
2022,1,18,13,-0.1
2022,1,18,14,-0.57
2022,1,18,15,-1.45
2022,1,18,16,-2.61
2022,1,18,17,-3.57
2022,1,18,18,-4.19
2022,1,18,19,-4.67
2022,1,18,20,-5.07
2022,1,18,21,-5.41
2022,1,18,22,-5.56
2022,1,18,23,-5.27
2022,1,19,0,-4.74
2022,1,19,1,-4.67
2022,1,19,2,-5.35
2022,1,19,3,-5.35
2022,1,19,4,-4.45
2022,1,19,5,-3.55
2022,1,19,6,-2.33
2022,1,19,7,-1.28
2022,1,19,8,-0.08
2022,1,19,9,1.28
2022,1,19,10,2.77
2022,1,19,11,3.86
2022,1,19,12,4.5
2022,1,19,13,5.26
2022,1,19,14,5.56
2022,1,19,15,4.89
2022,1,19,16,3.08
2022,1,19,17,2.67
2022,1,19,18,2.21
2022,1,19,19,2.18
2022,1,19,20,2.16
2022,1,19,21,2.05
2022,1,19,22,2.05
2022,1,19,23,1.61
2022,1,20,0,0.84
2022,1,20,1,0.85
2022,1,20,2,1.28
2022,1,20,3,1.14
2022,1,20,4,1.25
2022,1,20,5,1.04
2022,1,20,6,0.61
2022,1,20,7,0.34
2022,1,20,8,0.13
2022,1,20,9,-0.1
2022,1,20,10,-0.24
2022,1,20,11,-0.38
2022,1,20,12,-0.31
2022,1,20,13,0.08
2022,1,20,14,0.12
2022,1,20,15,-0.59
2022,1,20,16,-1.95
2022,1,20,17,-3.34
2022,1,20,18,-4.64
2022,1,20,19,-5.56
2022,1,20,20,-6.27
2022,1,20,21,-6.81
2022,1,20,22,-7.45
2022,1,20,23,-8.25
2022,1,21,0,-8.9
2022,1,21,1,-9.43
2022,1,21,2,-9.97
2022,1,21,3,-10.7
2022,1,21,4,-11.52
2022,1,21,5,-12.13
2022,1,21,6,-12.45
2022,1,21,7,-12.33
2022,1,21,8,-11.7
2022,1,21,9,-10.71
2022,1,21,10,-9.34
2022,1,21,11,-7.88
2022,1,21,12,-6.6
2022,1,21,13,-5.79
2022,1,21,14,-5.5
2022,1,21,15,-6
2022,1,21,16,-7.4
2022,1,21,17,-8.54
2022,1,21,18,-9.17
2022,1,21,19,-9.67
2022,1,21,20,-10.03
2022,1,21,21,-10.21
2022,1,21,22,-10.25
2022,1,21,23,-10.31
2022,1,22,0,-10.57
2022,1,22,1,-10.93
2022,1,22,2,-11.29
2022,1,22,3,-11.76
2022,1,22,4,-12.4
2022,1,22,5,-13.27
2022,1,22,6,-14.09
2022,1,22,7,-14.33
2022,1,22,8,-12.4
2022,1,22,9,-9.72
2022,1,22,10,-7.13
2022,1,22,11,-4.73
2022,1,22,12,-2.95
2022,1,22,13,-2.1
2022,1,22,14,-1.99
2022,1,22,15,-2.67
2022,1,22,16,-4.08
2022,1,22,17,-4.77
2022,1,22,18,-5.62
2022,1,22,19,-6.67
2022,1,22,20,-6.98
2022,1,22,21,-7.77
2022,1,22,22,-8.5
2022,1,22,23,-8.59
2022,1,23,0,-8.75
2022,1,23,1,-9.18
2022,1,23,2,-9.57
2022,1,23,3,-9.8
2022,1,23,4,-10.02
2022,1,23,5,-10.24
2022,1,23,6,-10.1
2022,1,23,7,-9.08
2022,1,23,8,-7.45
2022,1,23,9,-5.74
2022,1,23,10,-3.09
2022,1,23,11,-0.6
2022,1,23,12,0.42
2022,1,23,13,0.87
2022,1,23,14,0.87
2022,1,23,15,0.26
2022,1,23,16,-1.55
2022,1,23,17,-2.32
2022,1,23,18,-2.44
2022,1,23,19,-2.56
2022,1,23,20,-2.77
2022,1,23,21,-2.95
2022,1,23,22,-3.05
2022,1,23,23,-3.28
2022,1,24,0,-3.63
2022,1,24,1,-3.75
2022,1,24,2,-4.17
2022,1,24,3,-4.45
2022,1,24,4,-5.03
2022,1,24,5,-5.45
2022,1,24,6,-6.06
2022,1,24,7,-6.32
2022,1,24,8,-5.18
2022,1,24,9,-3.65
2022,1,24,10,-2.07
2022,1,24,11,-0.89
2022,1,24,12,-0.17
2022,1,24,13,0.22
2022,1,24,14,0.04
2022,1,24,15,-0.65
2022,1,24,16,-2.1
2022,1,24,17,-2.42
2022,1,24,18,-2.21
2022,1,24,19,-2.04
2022,1,24,20,-1.94
2022,1,24,21,-1.81
2022,1,24,22,-1.62
2022,1,24,23,-1.35
2022,1,25,0,-0.97
2022,1,25,1,-0.33
2022,1,25,2,-0.27
2022,1,25,3,-0.62
2022,1,25,4,-0.99
2022,1,25,5,-1.68
2022,1,25,6,-2.62
2022,1,25,7,-2.6
2022,1,25,8,-0.59
2022,1,25,9,1.39
2022,1,25,10,3.17
2022,1,25,11,3.89
2022,1,25,12,4.19
2022,1,25,13,4.12
2022,1,25,14,3.6
2022,1,25,15,2.33
2022,1,25,16,0.07
2022,1,25,17,-1.6
2022,1,25,18,-2.46
2022,1,25,19,-3.01
2022,1,25,20,-3.45
2022,1,25,21,-3.85
2022,1,25,22,-4.35
2022,1,25,23,-4.95
2022,1,26,0,-5.58
2022,1,26,1,-6.14
2022,1,26,2,-6.63
2022,1,26,3,-7.25
2022,1,26,4,-7.83
2022,1,26,5,-8.42
2022,1,26,6,-8.94
2022,1,26,7,-8.71
2022,1,26,8,-7.04
2022,1,26,9,-5.87
2022,1,26,10,-4.96
2022,1,26,11,-4.19
2022,1,26,12,-3.77
2022,1,26,13,-3.73
2022,1,26,14,-3.92
2022,1,26,15,-4.42
2022,1,26,16,-5.39
2022,1,26,17,-6.4
2022,1,26,18,-7.3
2022,1,26,19,-8.42
2022,1,26,20,-9.44
2022,1,26,21,-10.2
2022,1,26,22,-10.82
2022,1,26,23,-11.34
2022,1,27,0,-11.69
2022,1,27,1,-12.03
2022,1,27,2,-12.21
2022,1,27,3,-12.27
2022,1,27,4,-12.17
2022,1,27,5,-12
2022,1,27,6,-11.75
2022,1,27,7,-11.08
2022,1,27,8,-8.87
2022,1,27,9,-6.39
2022,1,27,10,-4.61
2022,1,27,11,-3.49
2022,1,27,12,-2.63
2022,1,27,13,-2.05
2022,1,27,14,-1.86
2022,1,27,15,-2.19
2022,1,27,16,-4.15
2022,1,27,17,-5.96
2022,1,27,18,-6.28
2022,1,27,19,-6.38
2022,1,27,20,-6.45
2022,1,27,21,-6.29
2022,1,27,22,-6.09
2022,1,27,23,-5.64
2022,1,28,0,-5.27
2022,1,28,1,-5.15
2022,1,28,2,-5.1
2022,1,28,3,-5.03
2022,1,28,4,-5.06
2022,1,28,5,-5.15
2022,1,28,6,-5.17
2022,1,28,7,-4.85
2022,1,28,8,-3.88
2022,1,28,9,-2.74
2022,1,28,10,-1.4
2022,1,28,11,-0.63
2022,1,28,12,-0.23
2022,1,28,13,-0.08
2022,1,28,14,-0.26
2022,1,28,15,-0.7
2022,1,28,16,-1.5
2022,1,28,17,-2.03
2022,1,28,18,-2.16
2022,1,28,19,-2.45
2022,1,28,20,-2.36
2022,1,28,21,-2.38
2022,1,28,22,-2.67
2022,1,28,23,-2.92
2022,1,29,0,-3.38
2022,1,29,1,-4.19
2022,1,29,2,-5.16
2022,1,29,3,-6.13
2022,1,29,4,-6.91
2022,1,29,5,-7.52
2022,1,29,6,-8.23
2022,1,29,7,-9
2022,1,29,8,-9.59
2022,1,29,9,-10.05
2022,1,29,10,-10.27
2022,1,29,11,-10.36
2022,1,29,12,-10.28
2022,1,29,13,-10.13
2022,1,29,14,-9.94
2022,1,29,15,-9.87
2022,1,29,16,-9.91
2022,1,29,17,-10.05
2022,1,29,18,-10.31
2022,1,29,19,-10.72
2022,1,29,20,-11.17
2022,1,29,21,-11.67
2022,1,29,22,-12.25
2022,1,29,23,-12.76
2022,1,30,0,-13.05
2022,1,30,1,-13.24
2022,1,30,2,-13.53
2022,1,30,3,-13.85
2022,1,30,4,-14.1
2022,1,30,5,-14.46
2022,1,30,6,-15.13
2022,1,30,7,-15.25
2022,1,30,8,-12.31
2022,1,30,9,-9.86
2022,1,30,10,-7.99
2022,1,30,11,-6.48
2022,1,30,12,-5.4
2022,1,30,13,-4.73
2022,1,30,14,-4.46
2022,1,30,15,-4.77
2022,1,30,16,-6.63
2022,1,30,17,-8.3
2022,1,30,18,-8.52
2022,1,30,19,-8.71
2022,1,30,20,-9.03
2022,1,30,21,-8.98
2022,1,30,22,-8.82
2022,1,30,23,-8.85
2022,1,31,0,-9.01
2022,1,31,1,-9.52
2022,1,31,2,-10.68
2022,1,31,3,-11.51
2022,1,31,4,-12.06
2022,1,31,5,-12.48
2022,1,31,6,-12.74
2022,1,31,7,-11.92
2022,1,31,8,-8.88
2022,1,31,9,-5.63
2022,1,31,10,-3.43
2022,1,31,11,-2.45
2022,1,31,12,-1.81
2022,1,31,13,-1.5
2022,1,31,14,-1.45
2022,1,31,15,-1.92
2022,1,31,16,-3.45
2022,1,31,17,-5.2
2022,1,31,18,-6.06
2022,1,31,19,-6.51
2022,1,31,20,-6.72
2022,1,31,21,-6.85
2022,1,31,22,-6.95
2022,1,31,23,-7.23
2022,2,1,0,-7.72
2022,2,1,1,-8.54
2022,2,1,2,-9.32
2022,2,1,3,-9.7
2022,2,1,4,-9.97
2022,2,1,5,-10.35
2022,2,1,6,-10.76
2022,2,1,7,-10.08
2022,2,1,8,-7.17
2022,2,1,9,-4.08
2022,2,1,10,-1.12
2022,2,1,11,0.1
2022,2,1,12,0.8
2022,2,1,13,1.12
2022,2,1,14,1.08
2022,2,1,15,0.65
2022,2,1,16,-1.49
2022,2,1,17,-3.38
2022,2,1,18,-3.94
2022,2,1,19,-4.28
2022,2,1,20,-4.37
2022,2,1,21,-4.03
2022,2,1,22,-3.31
2022,2,1,23,-2.57
